PUR,INDIV,SING
23.0,21.0,1.0
23.0,27.0,1.0
17.0,28.0,1.0
22.0,23.0,1.0
22.0,18.0,0.0
17.0,27.0,3.0
21.0,22.0,1.0
26.0,25.0,1.0
16.0,23.0,1.0
28.0,27.0,0.0
19.0,21.0,1.0
19.0,24.0,1.0
25.0,18.0,3.0
22.0,16.0,0.0
24.0,18.0,1.0
21.0,23.0,2.0
21.0,22.0,0.0
21.0,17.0,3.0
22.0,24.0,1.0
21.0,24.0,1.0
26.0,19.0,1.0
17.0,23.0,1.0
20.0,22.0,1.0
15.0,20.0,2.0
20.0,23.0,1.0
18.0,22.0,1.0
18.0,18.0,1.0
28.0,22.0,0.0
23.0,22.0,2.0
20.0,22.0,1.0
21.0,25.0,0.0
24.0,24.0,1.0
24.0,23.0,3.0
19.0,21.0,1.0
14.0,21.0,0.0
19.0,35.0,1.0
24.0,28.0,2.0
28.0,16.0,0.0
23.0,21.0,1.0
19.0,29.0,2.0
17.0,29.0,2.0
21.0,23.0,1.0
25.0,17.0,1.0
19.0,23.0,2.0
20.0,36.0,1.0
26.0,34.0,2.0
20.0,30.0,1.0
22.0,23.0,0.0
21.0,27.0,7.0
31.0,34.0,1.0
28.0,28.0,0.0
24.0,28.0,2.0
25.0,30.0,1.0
23.0,19.0,1.0
22.0,27.0,0.0
21.0,24.0,2.0
19.0,28.0,1.0
23.0,22.0,2.0
20.0,18.0,2.0
17.0,37.0,1.0
23.0,27.0,0.0
21.0,22.0,2.0
23.0,21.0,2.0
24.0,26.0,1.0
23.0,23.0,1.0
24.0,24.0,1.0
19.0,31.0,0.0
18.0,32.0,1.0
26.0,27.0,2.0
25.0,24.0,0.0
27.0,28.0,2.0
24.0,25.0,1.0
22.0,27.0,1.0
28.0,27.0,2.0
30.0,30.0,0.0
31.0,29.0,1.0
24.0,28.0,2.0
19.0,18.0,1.0
22.0,25.0,1.0
21.0,27.0,0.0
21.0,32.0,5.0
20.0,29.0,1.0
20.0,20.0,1.0
18.0,30.0,0.0
23.0,24.0,5.0
26.0,28.0,1.0
27.0,30.0,0.0
27.0,24.0,2.0
18.0,33.0,1.0
22.0,27.0,1.0
15.0,28.0,1.0
21.0,28.0,0.0
26.0,27.0,1.0
22.0,29.0,1.0
30.0,31.0,1.0
25.0,27.0,1.0
22.0,20.0,0.0
23.0,28.0,1.0
23.0,31.0,1.0
27.0,39.0,1.0
18.0,31.0,0.0
22.0,27.0,1.0
30.0,25.0,1.0
23.0,25.0,1.0
18.0,31.0,0.0
30.0,19.0,3.0
25.0,26.0,1.0
26.0,31.0,1.0
28.0,38.0,0.0
26.0,30.0,2.0
21.0,23.0,1.0
19.0,22.0,0.0
24.0,20.0,5.0
24.0,31.0,2.0
30.0,33.0,1.0
24.0,26.0,0.0
27.0,28.0,1.0
17.0,23.0,2.0
33.0,23.0,1.0
29.0,20.0,0.0
24.0,26.0,2.0
21.0,29.0,3.0
25.0,27.0,1.0
28.0,28.0,1.0
28.0,24.0,1.0
25.0,20.0,2.0
26.0,23.0,0.0
23.0,31.0,2.0
28.0,33.0,1.0
25.0,31.0,1.0
22.0,17.0,0.0
23.0,21.0,1.0
28.0,26.0,1.0
30.0,34.0,0.0
24.0,27.0,3.0
23.0,27.0,1.0
26.0,28.0,2.0
22.0,22.0,3.0
29.0,27.0,2.0
31.0,26.0,1.0
25.0,29.0,1.0
30.0,23.0,0.0
31.0,21.0,1.0
37.0,29.0,1.0
29.0,30.0,1.0
31.0,28.0,1.0
35.0,27.0,1.0
21.0,27.0,0.0
25.0,25.0,4.0
27.0,24.0,1.0
28.0,32.0,0.0
30.0,34.0,3.0
24.0,31.0,1.0
19.0,26.0,0.0
25.0,31.0,2.0
36.0,27.0,1.0
28.0,24.0,1.0
28.0,19.0,0.0
23.0,23.0,1.0
29.0,27.0,3.0
26.0,27.0,1.0
24.0,26.0,1.0
22.0,28.0,0.0
22.0,27.0,2.0
23.0,24.0,1.0
29.0,31.0,0.0
36.0,28.0,5.0
40.0,28.0,1.0
28.0,39.0,0.0
19.0,34.0,1.0
26.0,33.0,1.0
17.0,30.0,0.0
29.0,24.0,4.0
32.0,28.0,1.0
29.0,27.0,1.0
28.0,35.0,0.0
27.0,32.0,2.0
25.0,28.0,1.0
26.0,24.0,1.0
36.0,28.0,0.0
27.0,24.0,2.0
34.0,28.0,1.0
31.0,26.0,0.0
32.0,25.0,2.0
28.0,25.0,2.0
30.0,26.0,1.0
29.0,40.0,1.0
31.0,37.0,1.0
24.0,39.0,0.0
28.0,32.0,2.0
28.0,26.0,1.0
28.0,33.0,0.0
32.0,28.0,1.0
27.0,24.0,1.0
33.0,33.0,0.0
31.0,32.0,2.0
27.0,34.0,1.0
26.0,30.0,1.0
28.0,35.0,1.0
27.0,33.0,1.0
29.0,29.0,0.0
29.0,29.0,2.0
22.0,37.0,1.0
24.0,31.0,0.0
35.0,27.0,3.0
34.0,32.0,1.0
32.0,31.0,0.0
30.0,32.0,1.0
34.0,31.0,1.0
27.0,28.0,2.0
24.0,24.0,3.0
32.0,34.0,0.0
29.0,25.0,4.0
33.0,30.0,1.0
30.0,27.0,0.0
31.0,23.0,1.0
27.0,22.0,1.0
24.0,31.0,0.0
27.0,29.0,4.0
31.0,31.0,1.0
26.0,31.0,2.0
26.0,21.0,2.0
24.0,22.0,1.0
27.0,26.0,1.0
28.0,34.0,0.0
32.0,31.0,1.0
36.0,22.0,1.0
29.0,31.0,0.0
29.0,34.0,3.0
27.0,33.0,1.0
40.0,28.0,1.0
28.0,36.0,1.0
28.0,34.0,1.0
24.0,35.0,1.0
28.0,33.0,1.0
22.0,33.0,1.0
22.0,29.0,2.0
28.0,27.0,1.0
27.0,32.0,3.0
24.0,36.0,0.0
25.0,31.0,2.0
26.0,33.0,1.0
30.0,26.0,2.0
25.0,25.0,1.0
31.0,30.0,1.0
31.0,30.0,1.0
26.0,26.0,1.0
31.0,31.0,1.0
37.0,34.0,2.0
29.0,43.0,1.0
24.0,43.0,2.0
30.0,33.0,2.0
32.0,34.0,4.0
30.0,34.0,1.0
23.0,39.0,2.0
28.0,37.0,0.0
29.0,31.0,1.0
30.0,39.0,1.0
32.0,39.0,1.0
33.0,25.0,0.0
31.0,27.0,2.0
28.0,24.0,1.0
29.0,27.0,1.0
30.0,27.0,1.0
39.0,27.0,0.0
39.0,29.0,1.0
39.0,27.0,1.0
30.0,36.0,0.0
32.0,32.0,1.0
26.0,23.0,1.0
35.0,25.0,0.0
29.0,29.0,1.0
33.0,38.0,1.0
28.0,30.0,1.0
30.0,25.0,1.0
26.0,32.0,1.0
32.0,26.0,0.0
24.0,28.0,1.0
26.0,33.0,1.0
27.0,35.0,3.0
22.0,35.0,1.0
27.0,38.0,0.0
42.0,27.0,1.0
34.0,34.0,1.0
29.0,31.0,1.0
26.0,21.0,1.0
25.0,34.0,2.0
31.0,30.0,1.0
25.0,28.0,4.0
28.0,26.0,1.0
34.0,29.0,0.0
39.0,36.0,3.0
37.0,35.0,1.0
25.0,32.0,2.0
29.0,33.0,0.0
25.0,34.0,4.0
32.0,29.0,1.0
32.0,38.0,1.0
32.0,29.0,0.0
32.0,27.0,3.0
25.0,38.0,1.0
22.0,37.0,1.0
35.0,36.0,1.0
31.0,25.0,1.0
33.0,32.0,0.0
28.0,35.0,1.0
20.0,30.0,1.0
23.0,25.0,1.0
26.0,36.0,1.0
27.0,30.0,1.0
28.0,35.0,1.0
33.0,29.0,1.0
39.0,40.0,2.0
26.0,41.0,1.0
27.0,32.0,0.0
32.0,36.0,4.0
38.0,38.0,3.0
38.0,33.0,0.0
32.0,27.0,3.0
32.0,24.0,1.0
27.0,27.0,0.0
27.0,37.0,3.0
26.0,37.0,1.0
34.0,31.0,1.0
31.0,24.0,2.0
31.0,28.0,2.0
39.0,28.0,1.0
34.0,34.0,1.0
28.0,30.0,1.0
32.0,36.0,0.0
34.0,34.0,4.0
34.0,34.0,1.0
35.0,37.0,2.0
32.0,42.0,0.0
32.0,36.0,2.0
26.0,36.0,2.0
36.0,35.0,0.0
44.0,32.0,3.0
34.0,34.0,1.0
33.0,30.0,0.0
33.0,31.0,1.0
33.0,36.0,1.0
31.0,32.0,0.0
25.0,35.0,1.0
29.0,32.0,1.0
33.0,30.0,0.0
39.0,33.0,1.0
29.0,30.0,1.0
35.0,28.0,1.0
40.0,32.0,3.0
32.0,35.0,3.0
32.0,35.0,0.0
39.0,27.0,4.0
34.0,29.0,1.0
30.0,27.0,2.0
34.0,33.0,0.0
32.0,29.0,1.0
35.0,31.0,1.0
30.0,32.0,1.0
32.0,28.0,0.0
27.0,32.0,1.0
23.0,33.0,1.0
41.0,34.0,1.0
34.0,31.0,1.0
34.0,41.0,1.0
27.0,29.0,0.0
29.0,27.0,5.0
32.0,31.0,1.0
21.0,33.0,1.0
29.0,29.0,0.0
33.0,31.0,2.0
34.0,35.0,1.0
35.0,32.0,0.0
33.0,29.0,1.0
34.0,39.0,1.0
40.0,42.0,2.0
32.0,29.0,1.0
34.0,36.0,1.0
28.0,33.0,1.0
39.0,32.0,2.0
34.0,34.0,1.0
32.0,32.0,1.0
28.0,36.0,2.0
28.0,33.0,0.0
32.0,35.0,1.0
28.0,32.0,2.0
38.0,36.0,1.0
35.0,35.0,2.0
32.0,34.0,1.0
35.0,27.0,1.0
30.0,35.0,0.0
24.0,36.0,2.0
28.0,41.0,1.0
29.0,46.0,0.0
26.0,30.0,2.0
33.0,39.0,2.0
35.0,29.0,0.0
41.0,32.0,1.0
34.0,37.0,1.0
33.0,35.0,0.0
29.0,27.0,1.0
32.0,33.0,1.0
33.0,29.0,1.0
28.0,33.0,1.0
31.0,34.0,1.0
37.0,43.0,1.0
40.0,35.0,0.0
36.0,39.0,1.0
24.0,33.0,1.0
24.0,31.0,0.0
27.0,27.0,2.0
26.0,33.0,1.0
26.0,32.0,1.0
38.0,42.0,1.0
29.0,31.0,1.0
34.0,30.0,1.0
32.0,37.0,0.0
36.0,32.0,3.0
23.0,30.0,2.0
31.0,36.0,0.0
28.0,42.0,6.0
27.0,33.0,1.0
36.0,33.0,2.0
42.0,35.0,2.0
34.0,41.0,0.0
31.0,39.0,1.0
38.0,34.0,1.0
43.0,28.0,0.0
39.0,28.0,1.0
31.0,29.0,1.0
30.0,28.0,0.0
33.0,31.0,3.0
37.0,36.0,1.0
26.0,29.0,1.0
29.0,34.0,0.0
37.0,25.0,2.0
37.0,37.0,1.0
36.0,27.0,0.0
34.0,27.0,2.0
29.0,31.0,1.0
29.0,33.0,0.0
31.0,32.0,1.0
36.0,33.0,1.0
30.0,28.0,1.0
34.0,29.0,0.0
34.0,32.0,2.0
34.0,32.0,1.0
34.0,27.0,1.0
34.0,33.0,0.0
37.0,33.0,2.0
33.0,35.0,1.0
28.0,31.0,0.0
38.0,32.0,4.0
28.0,30.0,1.0
35.0,29.0,0.0
32.0,29.0,3.0
34.0,33.0,1.0
33.0,29.0,0.0
32.0,29.0,5.0
34.0,28.0,1.0
31.0,40.0,0.0
39.0,33.0,3.0
41.0,33.0,1.0
29.0,37.0,0.0
37.0,35.0,1.0
33.0,34.0,1.0
32.0,27.0,1.0
32.0,20.0,0.0
33.0,24.0,1.0
27.0,29.0,1.0
33.0,26.0,1.0
32.0,32.0,1.0
36.0,28.0,0.0
36.0,29.0,1.0
40.0,31.0,2.0
30.0,28.0,1.0
25.0,25.0,0.0
32.0,33.0,5.0
36.0,28.0,1.0
42.0,32.0,1.0
28.0,30.0,0.0
26.0,33.0,1.0
30.0,36.0,1.0
29.0,40.0,1.0
34.0,41.0,1.0
40.0,35.0,2.0
38.0,33.0,0.0
35.0,34.0,6.0
33.0,25.0,1.0
29.0,25.0,0.0
36.0,26.0,4.0
37.0,31.0,1.0
28.0,31.0,1.0
32.0,28.0,1.0
36.0,27.0,0.0
34.0,28.0,5.0
29.0,24.0,1.0
31.0,20.0,1.0
30.0,26.0,0.0
29.0,31.0,1.0
31.0,30.0,1.0
37.0,17.0,1.0
36.0,24.0,1.0
36.0,32.0,0.0
31.0,26.0,5.0
28.0,25.0,2.0
30.0,31.0,1.0
31.0,24.0,1.0
29.0,19.0,0.0
38.0,22.0,1.0
33.0,22.0,1.0
35.0,22.0,0.0
24.0,22.0,1.0
31.0,24.0,1.0
39.0,25.0,0.0
30.0,24.0,4.0
30.0,31.0,1.0
45.0,29.0,1.0
40.0,27.0,0.0
24.0,28.0,2.0
27.0,23.0,1.0
41.0,18.0,0.0
33.0,17.0,2.0
25.0,31.0,2.0
32.0,26.0,0.0
37.0,24.0,2.0
33.0,22.0,1.0
35.0,22.0,0.0
30.0,21.0,14.0
33.0,16.0,1.0
31.0,23.0,1.0
33.0,24.0,0.0
26.0,22.0,1.0
27.0,28.0,1.0
41.0,27.0,0.0
29.0,24.0,9.0
31.0,29.0,1.0
36.0,27.0,1.0
28.0,27.0,1.0
34.0,24.0,1.0
26.0,23.0,1.0
30.0,18.0,0.0
33.0,21.0,4.0
32.0,23.0,1.0
35.0,16.0,0.0
34.0,20.0,4.0
30.0,24.0,1.0
35.0,17.0,0.0
31.0,15.0,1.0
29.0,19.0,1.0
26.0,20.0,0.0
33.0,18.0,8.0
32.0,14.0,1.0
32.0,10.0,0.0
25.0,18.0,4.0
29.0,13.0,1.0
34.0,14.0,0.0
39.0,14.0,16.0
43.0,12.0,2.0
34.0,18.0,0.0
21.0,17.0,1.0
26.0,17.0,1.0
30.0,25.0,1.0
30.0,24.0,0.0
26.0,13.0,4.0
27.0,11.0,1.0
34.0,18.0,0.0
34.0,14.0,8.0
34.0,13.0,2.0
27.0,20.0,0.0
24.0,19.0,1.0
40.0,13.0,1.0
24.0,13.0,0.0
20.0,17.0,3.0
22.0,10.0,1.0
25.0,14.0,1.0
30.0,13.0,0.0
15.0,9.0,1.0
26.0,7.0,1.0
31.0,12.0,0.0
25.0,14.0,3.0
26.0,11.0,1.0
29.0,12.0,0.0
34.0,15.0,7.0
